CAT revision 69 GST ref 37

=== PRAETOR/CENTURION ARMOURY + WEAPONS ===
ENTRY hq-praetor | Legion Praetor
    LINK r47-hq-praetor-ws-horsetail | Horsetail Talisman -> r47-ws-horsetail-talisman | max=1 field=selections scope=parent
    LINK r47-hq-praetor-wb-favour-aura | Favour of the Pantheon — Daemonic Aura -> r47-wb-favour-aura | max=1 field=selections scope=parent
    LINK r47-hq-praetor-wb-favour-mutation | Favour of the Pantheon — Daemonic Mutation -> r47-wb-favour-mutation | max=1 field=selections scope=parent
    LINK r47-hq-praetor-wb-favour-strength | Favour of the Pantheon — Daemonic Strength -> r47-wb-favour-strength | max=1 field=selections scope=parent
    LINK r47-hq-praetor-wb-favour-visage | Favour of the Pantheon — Daemonic Visage -> r47-wb-favour-visage | max=1 field=selections scope=parent
  GROUP hq-praetor-ret-honour-melee | Power Weapon Replacements (per model) | max=10 field=selections scope=parent
    LINK hq-praetor-ret-honour-m-0 | Lightning Claw -> gear-lightning-claw | max=10 field=selections scope=parent
    LINK hq-praetor-ret-honour-m-1 | Power Fist -> gear-power-fist | max=10 field=selections scope=parent
    LINK hq-praetor-ret-honour-m-2 | Relic Blade -> gear-hq-relic | max=10 field=selections scope=parent
    LINK hq-praetor-ret-honour-m-3 | Thunder Hammer -> gear-thunder | max=10 field=selections scope=parent
  GROUP hq-praetor-ret-honour-champ-arm | Legion Champion — additional Armoury (max 50 pts) | max=50 field=pts scope=parent
    LINK hq-praetor-ret-honour-ca-0 | Hand Flamer -> gear-hand-flamer | max=1 field=selections scope=parent
    LINK hq-praetor-ret-honour-ca-1 | Lightning Claw -> gear-lightning-claw | max=1 field=selections scope=parent
    LINK hq-praetor-ret-honour-ca-2 | Pair of Lightning Claws -> gear-pair-claws | max=1 field=selections scope=parent
    LINK hq-praetor-ret-honour-ca-3 | Plasma Pistol -> gear-plasma-pistol | max=1 field=selections scope=parent
    LINK hq-praetor-ret-honour-ca-4 | Power Fist -> gear-power-fist | max=1 field=selections scope=parent
    LINK hq-praetor-ret-honour-ca-5 | Power Weapon -> gear-power-weapon | max=1 field=selections scope=parent
    LINK hq-praetor-ret-honour-ca-6 | Rending Weapon -> gear-rending | max=1 field=selections scope=parent
    LINK hq-praetor-ret-honour-ca-7 | Thunder Hammer -> gear-thunder | max=1 field=selections scope=parent
    LINK hq-praetor-ret-honour-ca-8 | Volkite Serpenta -> gear-volkite-serpenta | max=1 field=selections scope=parent
    LINK hq-praetor-ret-honour-ca-9 | Combi-Bolter -> gear-combi-bolter | max=1 field=selections scope=parent
    LINK hq-praetor-ret-honour-ca-10 | Combi-Flamer -> gear-combi-flamer | max=1 field=selections scope=parent
    LINK hq-praetor-ret-honour-ca-11 | Combi-Grenade Launcher -> gear-combi-grenade | max=1 field=selections scope=parent
    LINK hq-praetor-ret-honour-ca-12 | Combi-Meltagun -> gear-combi-melta | max=1 field=selections scope=parent
    LINK hq-praetor-ret-honour-ca-13 | Combi-Plasma Gun -> gear-combi-plasma | max=1 field=selections scope=parent
    LINK hq-praetor-ret-honour-ca-14 | Combi-Volkite Charger -> gear-combi-volkite | max=1 field=selections scope=parent
    LINK hq-praetor-ret-honour-ca-15 | Storm Bolter -> gear-storm-bolter | max=1 field=selections scope=parent
    LINK hq-praetor-ret-honour-cawg-0 | Combat Shield -> gear-hq-combat-shield | max=1 field=selections scope=parent
    LINK hq-praetor-ret-honour-cawg-1 | Melta Bombs -> gear-hq-melta-bombs | max=1 field=selections scope=parent
    LINK hq-praetor-ret-honour-cawg-2 | Auspex -> gear-hq-auspex | max=1 field=selections scope=parent
    LINK hq-praetor-ret-honour-cawg-3 | Bionics -> gear-hq-bionics | max=1 field=selections scope=parent
    LINK hq-praetor-ret-honour-cawg-4 | Purity Seals -> gear-hq-purity | max=1 field=selections scope=parent
    LINK hq-praetor-ret-honour-cawg-5 | Teleport Homer -> gear-hq-homer | max=1 field=selections scope=parent
    LINK da22-alt-pp-16 | Calibanite Plasma Pistol -> da22-plasma-pistol | max=1 field=selections scope=parent
    LINK r39-phosphex-hq-praetor-ret-honour-champ-arm | Phosphex Bomb (Destroyer Company) -> gear-phosphex-bomb | max=1 field=selections scope=parent
    LINK r40-da-warblade-hq-praetor-ret-honour-ca-5 | Calibanite Warblade -> da22-warblade | max=1 field=selections scope=parent
    LINK r63-sw-arm-22-frost | Frost Weapon -> r63-sw-gear-frost | max=1 field=selections scope=parent
    LINK r63-sw-arm-22-frost-exchange | Frost Weapon — Power Weapon exchange -> r63-sw-gear-frost-exchange | max=1 field=selections scope=parent
    LINK r63-sw-arm-22-pelt | Wolf Pelt -> r63-sw-gear-pelt | max=1 field=selections scope=parent
    LINK r63-sw-arm-22-necklace | Wolf Tooth Necklace -> r63-sw-gear-necklace | max=1 field=selections scope=parent
    LINK r63-sw-arm-22-talisman | Wolf Tail Talisman -> r63-sw-gear-talisman | max=1 field=selections scope=parent
    LINK r67-if-hq-praetor-ret-honour-champ-arm-solarite | Solarite Power Gauntlet -> r64-if-gear-solarite | max=1 field=selections scope=parent
    LINK r67-if-hq-praetor-ret-honour-champ-arm-solarite-ex | Solarite Power Gauntlet — exchange Power Fist -> r64-if-gear-solarite-exchange | max=1 field=selections scope=parent
  GROUP hq-praetor-ret-tc-armour | Terminator Armour Pattern | min=1 field=selections scope=parent; max=1 field=selections scope=parent
    LINK hq-praetor-ret-tc-arm-n | Terminator Armour -> gear-hq-terminator | min=1 field=selections scope=parent; max=1 field=selections scope=parent
    LINK hq-praetor-ret-tc-arm-t | Tartaros Terminator Armour -> gear-hq-tartaros | max=1 field=selections scope=parent
    LINK hq-praetor-ret-tc-arm-c | Cataphractii Terminator Armour -> gear-hq-cataphractii | max=1 field=selections scope=parent
  GROUP hq-praetor-ret-tc-melee | Power Weapon Replacements (per model) | max=5 field=selections scope=parent
    LINK hq-praetor-ret-tc-m-0 | Power Fist -> gear-power-fist | max=5 field=selections scope=parent
    LINK hq-praetor-ret-tc-m-1 | Lightning Claw -> gear-lightning-claw | max=5 field=selections scope=parent
    LINK hq-praetor-ret-tc-m-2 | Chainfist -> gear-chainfist | max=5 field=selections scope=parent
    LINK hq-praetor-ret-tc-m-3 | Thunder Hammer -> gear-thunder | max=5 field=selections scope=parent
  GROUP hq-praetor-ret-tc-pair | Replace both Combi-Bolter and Power Weapon | max=5 field=selections scope=parent
    LINK hq-praetor-ret-tc-pair-link | Pair of Lightning Claws -> gear-pair-claws | max=5 field=selections scope=parent
  GROUP hq-praetor-ret-tc-heavy | Heavy Weapon (one model only) | max=1 field=selections scope=parent
    LINK hq-praetor-ret-tc-h-0 | Heavy Flamer -> gear-heavy-flamer | max=1 field=selections scope=parent
    LINK hq-praetor-ret-tc-h-1 | Reaper Autocannon -> gear-reaper-autocannon | max=1 field=selections scope=parent
    LINK hq-praetor-ret-tc-h-2 | Plasma Blaster -> gear-plasma-blaster | max=1 field=selections scope=parent
    LINK hq-praetor-ret-tc-h-3 | Assault Cannon -> gear-assault-cannon | max=1 field=selections scope=parent
    LINK hq-praetor-ret-tc-h-4 | Cyclone Missile Launcher -> gear-cyclone | max=1 field=selections scope=parent
  GROUP r52-hq-praetor-ec-armoury | Emperor's Children Armoury | 
    LINK r52-hq-praetor-ec-sonic | Sonic Weaponry (one Praetor or Centurion per army) -> r52-ec-sonic-character | max=1 field=selections scope=parent
  GROUP r57-hq-praetor-iw | Iron Warriors Armoury | 
    ENTRY r57-hq-praetor-iw-servo | Servo-Arm | cost=30 | max=1 field=selections scope=parent
    ENTRY r57-hq-praetor-iw-bionics | Bionics | cost=5 | max=1 field=selections scope=parent
  GROUP r60-hq-praetor-ws-armoury | White Scars Armoury | 
    ENTRY r60-hq-praetor-glaive | Power Glaive | cost=25 | max=1 field=selections scope=parent
    ENTRY r60-hq-praetor-talisman | Horsetail Talisman | cost=25 | max=1 field=selections scope=parent
    ENTRY r60-ws-cyberhawk | Cyber-hawk | cost=10 | max=1 field=selections scope=parent
  GROUP r63-sw-hq-praetor-armoury | Space Wolves Armoury | 
    LINK r63-sw-hq-praetor-armoury-frost | Frost Weapon -> r63-sw-gear-frost | max=1 field=selections scope=parent
    LINK r63-sw-hq-praetor-armoury-frost-exchange | Frost Weapon — Power Weapon exchange -> r63-sw-gear-frost-exchange | max=1 field=selections scope=parent
    LINK r63-sw-hq-praetor-armoury-pelt | Wolf Pelt -> r63-sw-gear-pelt | max=1 field=selections scope=parent
    LINK r63-sw-hq-praetor-armoury-necklace | Wolf Tooth Necklace -> r63-sw-gear-necklace | max=1 field=selections scope=parent
    LINK r63-sw-hq-praetor-armoury-talisman | Wolf Tail Talisman -> r63-sw-gear-talisman | max=1 field=selections scope=parent
    LINK r63-sw-hq-praetor-armoury-great-frost | Great Frost Blade -> r63-sw-gear-great-frost | max=1 field=selections scope=parent
    LINK r63-sw-hq-praetor-armoury-runic-armour | Runic Armour -> r63-sw-gear-runic-armour | max=1 field=selections scope=parent
  GROUP r64-if-hq-praetor-armoury | Imperial Fists Armoury | max=5 field=selections scope=parent
    LINK r64-if-hq-praetor-solar | Solarite Power Gauntlet -> r64-if-gear-solarite | max=1 field=selections scope=parent
    LINK r64-if-hq-praetor-solar-ex | Solarite Power Gauntlet — exchange Power Fist -> r64-if-gear-solarite-exchange | max=1 field=selections scope=parent
    LINK r64-if-hq-praetor-shield | Vigil Pattern Storm Shield -> r64-if-gear-vigil | max=1 field=selections scope=parent
    LINK r64-if-hq-praetor-trans | Teleportation Transponders -> r64-if-gear-trans-ic | max=1 field=selections scope=parent
  GROUP r64-if-praetor-huscarl-r64-if-huscarl-melee | Power Weapon Replacements — any Huscarl | max=10 field=selections scope=parent
    ENTRY r64-if-praetor-huscarl-r64-if-huscarl-melee-fist | Power Fist | cost=10 | max=10 field=selections scope=parent
    ENTRY r64-if-praetor-huscarl-r64-if-huscarl-melee-claw | Lightning Claw | cost=10 | max=10 field=selections scope=parent
    ENTRY r64-if-praetor-huscarl-r64-if-huscarl-melee-chain | Chainfist | cost=15 | max=10 field=selections scope=parent
    ENTRY r64-if-praetor-huscarl-r64-if-huscarl-melee-hammer | Thunder Hammer | cost=15 | max=10 field=selections scope=parent
  GROUP r64-if-praetor-huscarl-r64-if-huscarl-captain | Huscarl Captain Armoury — up to 50 points | max=20 field=selections scope=parent
    LINK r64-if-praetor-huscarl-r64-if-huscarl-cap-solar | Solarite Power Gauntlet -> r64-if-gear-solarite | max=1 field=selections scope=parent
    LINK r64-if-praetor-huscarl-r64-if-huscarl-cap-solar-ex | Solarite Power Gauntlet — exchange Power Fist -> r64-if-gear-solarite-exchange | max=1 field=selections scope=parent
ENTRY hq-centurion | Legion Centurion
  GROUP hq-consul-signals-damocles-upgrades | Legion Vehicle Armoury | 
    ENTRY hq-consul-signals-dam-vu-0 | Hunter-Killer Missile | cost=5 | max=1 field=selections scope=parent
    ENTRY hq-consul-signals-dam-vu-1 | Dozer Blade | cost=5 | max=1 field=selections scope=parent
    ENTRY hq-consul-signals-dam-vu-2 | Extra Armour | cost=5 | max=1 field=selections scope=parent
    ENTRY hq-consul-signals-dam-vu-3 | Auxiliary Drive | cost=10 | max=1 field=selections scope=parent
    ENTRY hq-consul-signals-dam-vu-4 | Armoured Ceramite | cost=20 | max=1 field=selections scope=parent
    ENTRY hq-consul-signals-dam-vu-5 | Power of the Machine Spirit | cost=25 | max=1 field=selections scope=parent
  GROUP hq-consul-signals-dam-pintle | Pintle-mounted Weapon | max=1 field=selections scope=parent
    ENTRY hq-consul-signals-dam-p-0 | Twin-linked Bolter | cost=5 | max=1 field=selections scope=parent
    ENTRY hq-consul-signals-dam-p-1 | Combi-weapon | cost=5 | max=1 field=selections scope=parent
    ENTRY hq-consul-signals-dam-p-2 | Heavy Bolter | cost=10 | max=1 field=selections scope=parent
    ENTRY hq-consul-signals-dam-p-3 | Heavy Flamer | cost=10 | max=1 field=selections scope=parent
    ENTRY hq-consul-signals-dam-p-4 | Multi-Melta | cost=15 | max=1 field=selections scope=parent
    ENTRY hq-consul-signals-dam-p-5 | Havoc Launcher | cost=15 | max=1 field=selections scope=parent
  GROUP hq-centurion-armour | Armour Replacement (counts toward 100 pt Armoury limit) | max=1 field=selections scope=parent
    LINK hq-centurion-art | Artificer Armour -> gear-hq-artificer | max=1 field=selections scope=parent
    LINK hq-centurion-term | Terminator Armour -> gear-hq-terminator | max=1 field=selections scope=parent
    LINK hq-centurion-tart | Tartaros Terminator Armour -> gear-hq-tartaros | max=1 field=selections scope=parent
    LINK hq-centurion-cat | Cataphractii Terminator Armour -> gear-hq-cataphractii | max=1 field=selections scope=parent
    LINK r46-hq-centurion-r46-sal-mantle | Salamanders Mantle -> r46-sal-mantle | max=1 field=selections scope=parent
  GROUP hq-centurion-mob | Mobility (counts toward 100 pt Armoury limit) | max=1 field=selections scope=parent
    ENTRY r37-centurion-jetbike | Jetbike (Sky Hunter Phalanx) | cost=40 | max=1 field=selections scope=parent
    LINK hq-centurion-jump | Jump Pack -> gear-hq-jump | max=1 field=selections scope=parent
    LINK hq-centurion-bike | Space Marine Bike -> gear-hq-bike | max=1 field=selections scope=parent
    LINK r47-hq-centurion-ts-disc | Prosperine Æther-Disc -> r47-ts-prosperine-aether-disc | max=1 field=selections scope=parent
    LINK r47-hq-centurion-wb-favour-wings | Favour of the Pantheon — Daemonic Wings -> r47-wb-favour-wings | max=1 field=selections scope=parent
  GROUP hq-centurion-weapons | Weapon Replacements (max 100 Armoury pts; max 2 weapons) | max=2 field=selections scope=parent; max=100 field=pts scope=parent
    LINK r44-hq-centurion-r44-nl-chainglaive | Nostraman Chainglaive -> r44-nl-chainglaive | max=1 field=selections scope=parent
    LINK r44-hq-centurion-r44-ba-blade-perdition | Blade of Perdition -> r44-ba-blade-perdition | max=1 field=selections scope=parent
    LINK r45-hq-centurion-we-chain | Chainaxe -> r45-we-chainaxe | max=1 field=selections scope=parent
    LINK r45-hq-centurion-we-caedere | Caedere Weapon -> r45-we-caedere | max=1 field=selections scope=parent
    LINK r45-hq-centurion-um-axe | Legatine Axe -> r45-um-legatine-axe | max=1 field=selections scope=parent
    LINK r45-hq-centurion-dg-man | Manreaper -> r45-dg-manreaper | max=1 field=selections scope=parent
    LINK r45-hq-centurion-r45-ts-force-weapon | Prosperine Force Weapon upgrade -> r45-ts-force-weapon | max=1 field=selections scope=parent
    LINK r46-hq-centurion-r46-soh-culling-blade | Cthonian Culling Blade -> r46-soh-culling-blade | max=1 field=selections scope=parent
    LINK r46-hq-centurion-r46-soh-chainaxe | Chainaxe -> r46-soh-chainaxe | max=1 field=selections scope=parent
    LINK r46-hq-centurion-r46-wb-accursed-crozius | Accursed Crozius -> r46-wb-accursed-crozius | max=1 field=selections scope=parent
    LINK r46-hq-centurion-r46-wb-tainted-weapon | Tainted Weapon -> r46-wb-tainted-weapon | max=1 field=selections scope=parent
    LINK r46-hq-centurion-r46-sal-mastercrafted | Master-crafted Weapon — Salamanders price -> r46-sal-mastercrafted | max=1 field=selections scope=parent
    LINK r46-hq-centurion-r46-al-power-dagger | Power Dagger -> r46-al-power-dagger | max=1 field=selections scope=parent
  GROUP hq-centurion-single | Single-handed Weapons | max=2 field=selections scope=parent
    LINK hq-centurion-sw-0 | Chainaxe -> gear-hq-chainaxe | max=1 field=selections scope=parent
    LINK hq-centurion-sw-1 | Chainfist -> gear-chainfist | max=1 field=selections scope=parent
    LINK hq-centurion-sw-2 | Close Combat Weapon -> gear-hq-ccw | max=1 field=selections scope=parent
    LINK hq-centurion-sw-4 | Hand Flamer -> gear-hand-flamer | max=1 field=selections scope=parent
    LINK hq-centurion-sw-5 | Lightning Claw -> gear-lightning-claw | max=1 field=selections scope=parent
    LINK hq-centurion-sw-6 | Pair of Lightning Claws -> gear-pair-claws | max=1 field=selections scope=parent
    LINK hq-centurion-sw-7 | Plasma Pistol -> gear-plasma-pistol | max=1 field=selections scope=parent
    LINK hq-centurion-sw-8 | Power Fist -> gear-power-fist | max=1 field=selections scope=parent
    LINK hq-centurion-sw-9 | Power Weapon -> gear-power-weapon | max=1 field=selections scope=parent
    LINK hq-centurion-sw-10 | Relic Blade -> gear-hq-relic | max=1 field=selections scope=parent
    LINK hq-centurion-sw-11 | Rending Weapon -> gear-rending | max=1 field=selections scope=parent
    LINK hq-centurion-sw-12 | Thunder Hammer -> gear-thunder | max=1 field=selections scope=parent
    LINK hq-centurion-sw-13 | Volkite Serpenta -> gear-volkite-serpenta | max=1 field=selections scope=parent
    LINK da22-hq-centurion-warblade | Calibanite Warblade -> da22-warblade | max=1 field=selections scope=parent
    LINK da22-alt-pp-17 | Calibanite Plasma Pistol -> da22-plasma-pistol | max=1 field=selections scope=parent
  GROUP hq-centurion-two | Two-handed Weapons | max=1 field=selections scope=parent
    LINK hq-centurion-tw-0 | Bolter -> gear-bolter | max=1 field=selections scope=parent
    LINK hq-centurion-tw-1 | Combi-Bolter -> gear-combi-bolter | max=1 field=selections scope=parent
    LINK hq-centurion-tw-2 | Combi-Flamer -> gear-combi-flamer | max=1 field=selections scope=parent
    LINK hq-centurion-tw-3 | Combi-Grenade Launcher -> gear-combi-grenade | max=1 field=selections scope=parent
    LINK hq-centurion-tw-4 | Combi-Meltagun -> gear-combi-melta | max=1 field=selections scope=parent
